"Ref","Value / Module","Footprint / Package","Qty","Unit Price (USD)","Ext Price (USD)","Supplier","Link / MPN"
"U1","ESP32-S3-WROOM-1-N16R8 (16MB Flash, 8MB PSRAM)","RF_Module:ESP32-S3-WROOM-1",1,4.80,4.80,"LCSC / Mouser","https://lcsc.com/product-detail/Espressif-Systems_ESP32-S3-WROOM-1-N16R8_C2964782.html"
"U2,U3","74HC165D (shift register)","SOIC-16_3.9x9.9mm",2,0.32,0.64,"LCSC","https://lcsc.com/product-detail/Texas-Instruments_SN74HC165DR_C4049.html"
"U4","AMS1117-3.3 (LDO)","SOT-223-3_TabPin2",1,0.18,0.18,"LCSC","https://lcsc.com/product-detail/AMS_AMS1117-3-3_C6185.html"
"Q1","MMBT3904 NPN","SOT-23",1,0.04,0.04,"LCSC","https://lcsc.com/product-detail/ON-Semiconductor_MMBT3904LT1G_C2056.html"
"D1","1N4148","SOD-123",1,0.03,0.03,"LCSC","https://lcsc.com/product-detail/1N4148_C14510.html"
"C1,C5","10uF 25V X5R","C_0805",2,0.04,0.08,"LCSC","https://lcsc.com/product-detail/Samsung_CL21A106KOQNNNE_C21190.html"
"C2","22uF 10V","C_0805",1,0.05,0.05,"LCSC","https://lcsc.com/product-detail/Samsung_CL21A226KOQNNNE_C21191.html"
"C3,C4,C7,C8","100nF 50V","C_0805",4,0.01,0.04,"LCSC","https://lcsc.com/product-detail/Samsung_CL21B104KBCNNNC_C21193.html"
"C6","1uF 50V","C_0805",1,0.02,0.02,"LCSC","https://lcsc.com/product-detail/Samsung_CL21B105KAFNNNE_C21194.html"
"R1,R2,R6-R17","10k 1%","R_0805",14,0.01,0.14,"LCSC","https://lcsc.com/product-detail/10k_R0805_C17802.html"
"R3,R4","4.7k 1%","R_0805",2,0.01,0.02,"LCSC","https://lcsc.com/product-detail/4.7k_R0805_C17801.html"
"R5","1k 1%","R_0805",1,0.01,0.01,"LCSC","https://lcsc.com/product-detail/1k_R0805_C17799.html"
"SW1,SW2","6x6mm tactile (RESET/BOOT)","SW_PUSH_6mm",2,0.08,0.16,"LCSC","https://lcsc.com/product-detail/6x6mm-tactile_C318884.html"
"SW3-SW14","6x6mm tactile (Keypad 12)","SW_PUSH_6mm",12,0.08,0.96,"LCSC","https://lcsc.com/product-detail/6x6mm-tactile_C318884.html"
"J1","Pin header 1x02 2.54mm","PinHeader_1x02",1,0.05,0.05,"LCSC","https://lcsc.com/product-detail/Pin-Header-2.54mm_2P_C42643.html"
"J2","Pin header 1x06","PinHeader_1x06",1,0.08,0.08,"LCSC","https://lcsc.com/product-detail/Pin-Header-2.54mm_6P_C42645.html"
"J3","Pin header 1x08 (TFT)","PinHeader_1x08",1,0.10,0.10,"LCSC","https://lcsc.com/product-detail/Pin-Header-2.54mm_8P_C42646.html"
"J4","Pin header 1x06 (INMP441)","PinHeader_1x06",1,0.08,0.08,"LCSC","https://lcsc.com/product-detail/Pin-Header-2.54mm_6P_C42645.html"
"J5","Pin header 1x05 (MLX90640)","PinHeader_1x05",1,0.07,0.07,"LCSC","https://lcsc.com/product-detail/Pin-Header-2.54mm_5P_C42644.html"
"J6","Pin header 1x03 (AUX)","PinHeader_1x03",1,0.05,0.05,"LCSC","https://lcsc.com/product-detail/Pin-Header-2.54mm_3P_C42642.html"
"J7","Pin header 1x04 (USB)","PinHeader_1x04",1,0.06,0.06,"LCSC","https://lcsc.com/product-detail/Pin-Header-2.54mm_4P_C42643.html"
"BZ1","PS1240P02BT piezo 12mm","Buzzer_TDK_PS1240P02BT",1,0.85,0.85,"LCSC","https://lcsc.com/product-detail/TDK_PS1240P02BT_C150001.html"
"MOD1","MLX90640 32x24 thermal array module (I2C)","Header 1x05 module",1,42.50,42.50,"Adafruit / Mouser","https://www.adafruit.com/product/4407"
"MOD2","INMP441 I2S MEMS mic module","Header 1x06 module",1,1.95,1.95,"Adafruit / LCSC","https://www.adafruit.com/product/4452"
"MOD3","1.8\" ST7735 128x160 TFT SPI module","Header 1x08 module",1,5.90,5.90,"AliExpress / Adafruit 358","https://www.adafruit.com/product/358"
"H1-H4","M2x8mm brass standoff + M2 screw (case mount)","MountingHardware",4,0.12,0.48,"LCSC / Amazon","https://www.amazon.com/s?k=M2+brass+standoff+8mm"
"WIRE","DuPont jumpers + 2.54mm cable (sensors)","-",1,1.50,1.50,"Generic","-"
"PCB","inSomnia 100x80mm 2-layer PCB (JLCPCB 5 pcs)","JLCPCB",1,4.00,4.00,"JLCPCB","https://jlcpcb.com (Gerbers: hardware/inSomnia_gerbers.zip)"
"","","","","","","",""
"TOTAL (1 unit, excl. shipping/tax)","","",61,68.62,68.62,"",""
"NOTES: Prices Sep 2025, LCSC/retail. MLX90640 dominates cost. PCB price amortized for 5pcs ($2+ $2 shipping). Modules on headers so they can be repositioned. Links verified 2026-09-17."
